"article","stage_text"
"CP-000706-G","Гибка"
"CP-000707-GP","Покраска"
"CP-000707-G","Гибка"
"CP-000708-RT","Токарные работы"
"CP-000708-R","Заготовка"
"CP-000709-RT","Токарные работы"
"CP-000709-R","Заготовка"
"CP-000710-RT","Токарные работы"
"CP-000710-R","Заготовка"
"CP-000711-RT","Токарные работы"
"CP-000711-R","Заготовка"
"CP-000712-RT","Токарные работы"
"CP-000712-R","Заготовка"
"CP-000713-RT","Токарные работы"
"CP-000713-R","Заготовка"
"CP-000714-RT","Токарные работы"
"CP-000714-R","Заготовка"
"CP-000715-RT","Токарные работы"
"CP-000715-R","Заготовка"
"CP-000716-RT","Токарные работы"
"CP-000716-R","Заготовка"
"CP-000717-RT","Токарные работы"
"CP-000717-R","Заготовка"
"CP-000718-RTSvZ","Зенковка"
"CP-000718-RTSv","Сверловка"
"CP-000718-RT","Токарные работы"
"CP-000718-R","Заготовка"
"CP-000719-RT","Токарные работы"
"CP-000719-R","Заготовка"
"CP-000720-P","Покраска"
"CP-000721-RMo","Механическая обработка"
"CP-000721-R","Заготовка"
"CP-000722-P","Покраска"
"CP-000723-RT","Токарные работы"
"CP-000723-R","Заготовка"
"CP-000724-RT","Токарные работы"
"CP-000724-R","Заготовка"
"CP-000725-RTFMo","Механическая обработка"
"CP-000725-RTF","Фрезеровка"
"CP-000725-RT","Токарные работы"
"CP-000725-R","Заготовка"
"CP-000726-RT","Токарные работы"
"CP-000726-R","Заготовка"
"CP-000727-RT","Токарные работы"
"CP-000727-R","Заготовка"
"CP-000728-RT","Токарные работы"
"CP-000728-R","Заготовка"
"CA-005900-Sb","Сборка"
"КМ0004706","Комплектовка"
"Е0007102","Комплектовка"
"CA-006340-SP","Покраска"
"CA-006340-S","Сборка/сварка"
"CP-002673-RT","Токарные работы"
"CP-002673-R","Заготовка"
"IH0007851-0","Сборка"
"CA-000900-SP","Покраска"
"CP-000900-S","Сборка/сварка"
"CP-000319-RG","Гибка"
"CP-000319-R","Заготовка"
"CP-000322-RG","Гибка"
"CP-000322-R","Заготовка"
"CP-000323-R","Заготовка"
"CP-000324-RGSv","Сверловка"
"CP-000324-RG","Гибка"
"CP-000324-R","Заготовка"
"CP-000325-RSv","Сверловка"
"CP-000325-R","Заготовка"
"CP-000326-R","Заготовка"
"CP-000333-G","Гибка"
"CP-000099-G","Гибка"
"CP-000329-G","Гибка"
"CA-002470-SP","Покраска"
"CA-002470-S","Сборка/сварка"
"CP-000649-R","Заготовка"
"CP-000660-RGP","Покраска"
"CP-000660-RG","Гибка"
"CP-000660-R","Заготовка"
"CA-002230-SP","Покраска"
"CA-002230-S","Сборка/сварка"
"CP-000428-G","Гибка"
"CP-000636-RT","Токарные работы"
"CP-000636-R","Заготовка"
"КМ0004701","Комплектовка"
"CA-000646-SP","Покраска"
"CA-000646-S","Сборка/сварка"
"CP-002699-RG","Гибка"
"CP-002699-R","Заготовка"
"CP-002700-R","Заготовка"
"CA-000645-SP","Покраска"
"CA-000645-S","Сборка/сварка"
"CP-002587-RT","Токарные работы"
"CP-002587-R","Заготовка"
"CP-000390-G","Гибка"
"CP-002648-T","Токарные работы"
"VP-000467-P","Покраска"
"CA-003460-SP","Покраска"
"CA-003460-S","Сборка/сварка"
"CP-001409-R","Заготовка"
"IH.0004607-0","Сборка"
"CP-000389-GP","Покраска"
"CP-000389-G","Гибка"
"CP-002232-GSP","Покраска"
"CP-002232-GS","Сборка/сварка"
"CP-002232-G","Гибка"
"VP-001082","Токарные работы"
"КМ0004609","Комплектовка"
"VP-000356-T","Токарные работы"
"CP-000394-P","Покраска"
"CA-000657-Sb","Сборка"
"КМ0004640","Комплектовка"
"CA-000667-Sb","Сборка"
"CP-000275-GP","Покраска"
"CP-000275-G","Гибка"
"CP-000276-GP","Покраска"
"CP-000276-G","Гибка"
"CA-000673-SP","Покраска"
"CA-000673-S","Сборка/сварка"
"CP-000274-G","Гибка"
"CP-000399-P","Покраска"
"CP-002574-R","Заготовка"
"КМ0004664","Комплектовка"
"CA-000668-Sb","Сборка"
"CP-000400-P","Покраска"
"CP-002573-R","Заготовка"
"КМ0004680","Комплектовка"
"CA-000669-Sb","Сборка"
"CP-000400-P","Покраска"
"CP-002573-R","Заготовка"
"КМ0004683","Комплектовка"
"CA-000671-Sb","Сборка"
"IH0001837","Сборка"
"CA-006080-SP","Покраска"
"CA-006080-S","Сборка/сварка"
"CP-002607-RG","Гибка"
"CP-002607-R","Заготовка"
"CP-002605-RG","Гибка"
"CP-002605-R","Заготовка"
"CA-006300-Sb","Сборка"
"CA-006280-S","Сборка/сварка"
"CP-002659-R","Заготовка"
"CA-000641-S","Сборка/сварка"
"CP-000558-RT","Токарные работы"
"CP-000558-R","Заготовка"
"CA-000639-S","Сборка/сварка"
"CP-002661-RT","Токарные работы"
"CP-002661-R","Заготовка"
"CA-000636-S","Сборка/сварка"
"CP-002677-R","Заготовка"
"CA-006120-SP","Покраска"
"CA-006120-S","Сборка/сварка"
"CP-000396-G","Гибка"
"CP-000385-G","Гибка"
"CP-000395-GSP","Покраска"
"CP-000395-GS","Сборка/сварка"
"CP-000395-G","Гибка"
"CA-003610-SP","Покраска"
"CA-003610-S","Сборка/сварка"
"CP-001479-RT","Токарные работы"
"CP-001479-R","Заготовка"
"CA-000655-Sb","Сборка"
"CA-000664-SP","Покраска"
"CA-000664-S","Сборка/сварка"
"CP-000387-G","Гибка"
